Level,Level,Title,Author,DRA,Genre,,,
A,1,"1, 2, 3 in the Box",Ellen Tarlow,1,Number, Counting Book,,
A,1,Elephants Like To...,Janelle Cherrington,1,Science, Nonfiction,,
A,1,Flowers Have Colors,Janelle Cherrington,1,Emergent Reader,,,
A,1,I See Bugs,Wiley Blevins,1,Science, Nonfiction,,
A,1,Numbers All Around,Susan Canizares,1,Number, Counting Book,,
A,1,On a Boat,Minda Novek,1,Social Studies, Nonfiction,,
A,1,School Day!,Jesus Cervantes,1,Emergent Reader,,,
A,1,We Play Together,Wiley Blevins,1,Sports, Nonfiction,,
A,1,We Read,Wiley Blevins,1,Photo Essay,,,
A,1,We Write,Ellen Tarlow,1,Picture Book,,,
A,1,Boxes,Avelyn Davidson,1,Realistic Fiction,,,
A,1,Helping,Linda Johns,1,Realistic Fiction,,,
A,1,"Hop, Skip, and Jump",Janelle Cherrington,1,Realistic Fiction,,,
A,1,Little Animals,Janet Reed,1,Fantasy,,,
A,1,My Dog Fluffy,Janelle Cherrington,1,Informational Narrative,,,
A,1,My House,Catherine Peters,1,Informational Narrative,,,
A,1,Playing,Avelyn Davidson,1,Realistic Fiction,,,
A,1,"Run, Rabbit!",Yael Landman,1,Realistic Fiction,,,
A,1,The Storm,Avelyn Davidson,1,Science, Nonfiction,,
A,1,Time,Avelyn Davidson,1,Realistic Fiction,,,
A,1,Let's Go!,Rachel Mann,1,Photo Essay,,,
A,1,School,Gay Su Pinnell,1,Social Studies, Nonfiction,,
A,1,What Bears Like,Janelle Cherrington,1,Science, Nonfiction,,
A,1,What Do Insects Do?,Susan Canizares,1,Science, Nonfiction,,
A,1,We Are Painting,Francie Alexander,1,Number, Counting Book,,
A,1,Butterfly,Jephson Gibbs,1,Emergent Reader,,,
A,1,Fruit Salad,Jephson Gibbs,1,Emergent Reader,,,
A,1,Let's Go!,Vanessa York,1,Emergent Reader,,,
A,1,My Mom,Andy Greer,1,Emergent Reader,,,
A,1,The Rabbit House,Bridie McBeath,1,Realistic Fiction,,,
A,1,Sea Animals,Annie Thomas,1,Science, Nonfiction,,
A,1,The Store,Bridie McBeath,1,Emergent Reader,,,
A,1,The Three Frogs,Cynthia Rothman,1,Emergent Reader,,,
A,1,Time for Bed,Christina Master,1,Emergent Reader,,,
A,1,Up!,Jane Craft,1,Emergent Reader,,,
B,1,Can We Go?,Janelle Cherrington,2,Emergent Reader,,,
B,1,Can You See the Rabbit?,Janelle Cherrington,2,Science, Nonfiction,,
B,1,From Sheep to Sweater,Ellen Tarlow,2,Social Studies, Nonfiction,,
B,1,How to Make a Wind Sock,Ellen Tarlow,2,Activities, Skills, How–to,
B,1,I See Flags,Wiley Blevins,2,Social Studies, Nonfiction,,
B,1,Look-and-Find Shapes,Wiley Blevins,2,Math, Geometry,,
B,1,We Live Here,Gabriel Salzman,2,Social Studies, Nonfiction,,
B,1,What's the Weather?,Jennifer Cali,2,Science, Nonfiction,,
B,1,Who Hid?,Nancy Leber,2,Science, Nonfiction,,
B,1,Whose Bones?,Queta Fernandez,2,Science, Nonfiction,,
B,1,The Ants Go Home,Linda Johns,2,Fantasy,,,
B,1,Fishing,Janet Reed,2,Fantasy,,,
B,1,Getting There,Edwin Johns,2,Social Studies, Nonfiction,,
B,1,Home Run!,Catherine Peters,2,Realistic Fiction,,,
B,1,Let's Play,Catherine Peters,2,Realistic Fiction,,,
B,1,Look at Us,Linda Johns,2,Realistic Fiction,,,
B,1,My Feet,Janet Reed,2,Realistic Fiction,,,
B,1,Night Shift,Josh Ryan,2,Social Studies, Nonfiction,,
B,1,Off to the City,Avelyn Davidson,2,Fantasy,,,
B,1,Zebras Don't Brush Their Teeth!,Lynette Evans,2,Science, Nonfiction,,
B,1,In the Woods,Akimi Gibson,2,Fantasy,,,
B,1,Making Mountains,Margaret Ballinger,2,Emergent Reader,,,
B,1,Water,Susan Canizares,2,Science, Nonfiction,,
B,1,Who Lives in a Tree?,Susan Canizares,2,Science, Nonfiction,,
B,1,Who Lives in the Arctic?,Susan Canizares,2,Science, Nonfiction,,
B,1,Building Blocks,Alex Ives,2,Emergent Reader,,,
B,1,Buster and Ziggy,Emily Clark,2,Emergent Reader,,,
B,1,Color It Blue,Janet Reed,2,Science, Nonfiction,,
B,1,Hats,Sara Shapiro,2,Emergent Reader,,,
B,1,My Cat,Annie Thomas,2,Emergent Reader,,,
B,1,Party Time,Jane Craft,2,Emergent Reader,,,
B,1,Polar Bears,Bailey Carroll,2,Emergent Reader,,,
B,1,Puppy Paints,Cynthia Rothman,2,Emergent Reader,,,
B,1,School Fun,Stella Baker,2,Emergent Reader,,,
B,1,Where Is Bob?,Lindsay Winter,2,Emergent Reader,,,
C,1,Fun with Simple Machines,Ellen Tarlow,4,Informational Narrative,,,
C,1,A Kitten Is a Baby Cat,Wiley Blevins,4,Science, Nonfiction,,
C,1,My Scrapbook,Francie Alexander,4,Emergent Reader,,,
C,1,On the Farm,Janelle Cherrington,4,Cumulative Tale,,,
C,1,"Please, Thank You",Francie Alexander,4,Emergent Reader,,,
C,1,We Like Summer!,Wiley Blevins,4,Emergent Reader,,,
C,1,What Time Is It?,Julie Moriarty,4,Math, Geometry,,
C,1,Where Are They?,Keisha Humphrey,4,Number, Counting Book,,
C,1,How Will I Get to Grandma's House?,Wiley Blevins,4,Emergent Reader,,,
C,1,Signs,Susan Canizares,4,Social Studies, Nonfiction,,
C,1,"The Big, Blue Sea",Janine Scott,4,Science, Nonfiction,,
C,1,Brave Dave and the Dragons,Janet Reed,4,Fantasy,,,
C,1,Hide and Seek,Janet Reed,4,Fantasy,,,
C,1,It's Time to Eat!,Avelyn Davidson,4,Question and Answer Book,,,
C,1,Little Blue Fish,Lynette Evans,4,Realistic Fiction,,,
C,1,Little Duckling Is Lost,May Nelson,4,Fantasy,,,
C,1,The Oak Street Party,Catherine Peters,4,Realistic Fiction,,,
C,1,"One Frog, One Fly",Wendy Blaxland,4,Humor, Silliness,,
C,1,"Pass the Pasta, Please",Linda Johns,4,Informational Narrative,,,
C,1,Patterns,Samantha Berger,4,Informational Narrative,,,
C,1,Reptiles,Alex Ives,4,Picture Book,,,
C,1,Circles,Briar Wilton,4,Picture Book,,,
C,1,Kites,Bettina Ling,4,Rhyme, Rhyming Story,,
C,1,"Swing, Swing, Swing",Gail Tuchman,4,Emergent Reader,,,
C,1,What Has Stripes?,Margaret Ballinger,4,Beginning Reader,,,
C,1,All Kinds of Pets,Michael Price,4,Emergent Reader,,,
C,1,Is It a Baby Animal?,Bridget Taylor,4,Science, Nonfiction,,
C,1,Let's Eat,Margaret Bellings,4,Beginning Reader,,,
C,1,Mrs. Cat Goes Shopping,Vanessa York,4,Emergent Reader,,,
C,1,My Costume,Briar Wilton,4,Beginning Reader,,,
C,1,Pig Played,Cynthia Rothman,4,Picture Book,,,
C,1,Ready Freddy,Cynthia Rothman,4,Beginning Reader,,,
C,1,The Sky,Penelope Prince,4,Science, Nonfiction,,
C,1,Sleepy Bear,Sara Mitchell,4,Beginning Reader,,,
C,1,Under the Umbrella,Jane Craft,4,Emergent Reader,,,
D,1,Animals in Art,Wiley Blevins,6,Emergent Reader,,,
D,1,Clifford Can,Wiley Blevins,6,Emergent Reader,,,
D,1,Feel Better,Susan Russell,6,Photo Essay,,,
D,1,How Many Ducks?,Cindy Chapman,6,Emergent Reader,,,
D,1,I Need a Little Help,Kathy Schulz,6,Beginning Reader,,,
D,1,The Little Red Hen,Ellen Tarlow,6,Tales, Folktale,,
D,1,Look at These Trees,Susan Russell,6,Science, Nonfiction,,
D,1,Then & Now,Samantha Berger,6,Social Studies, Nonfiction,,
D,1,We Need the Sun,N/A,6,Science, Nonfiction,,
D,1,Where Does Food Grow?,Wiley Blevins,6,Science, Nonfiction,,
D,1,After School Fun,May Nelson,6,Realistic Fiction,,,
D,1,The Dog Walker,Lynette Evans,6,Realistic Fiction,,,
D,1,The Little Red Hen,Janelle Cherrington,6,Tales, Folktale,,
D,1,The Little Turtle,Vachel Lindsay,6,Poetry,,,
D,1,Noisy Breakfast,Ellen Blonder,6,Fantasy,,,
D,1,A Rainy Day,Lynette Evans,6,Realistic Fiction,,,
D,1,"Wake Up, Wake Up",Brian & Rebecca Wildsmith,6,Humor, Silliness,,
D,1,What Do You See?,Sara Shapiro,6,Science, Nonfiction,,
D,1,Where In the World?,May Nelson,6,Social Studies, Nonfiction,,
D,1,Who Lives Here?,Janet Reed,6,Realistic Fiction,,,
D,1,Ears to Hear,Rebecca Tree,6,Picture Book,,,
D,1,Footprints in the Snow,Cynthia Benjamin,6,Science, Nonfiction,,
D,1,I Love Mud and Mud Loves Me,Vicki Stephens,6,Realistic Fiction,,,
D,1,In the Spring,Sara Mitchell,6,Picture Book,,,
D,1,Winter Is Here!,Kimberly Weinberger,6,Rhyme, Rhyming Story,,
D,1,At the Toy Shop,Libby Brereton,6,Fantasy,,,
D,1,The Band,Alex Ives,6,Emergent Reader,,,
D,1,A Day at the Beach,Kate Sinclair,6,Emergent Reader,,,
D,1,Farm Helpers,Matt West,6,Beginning Reader,,,
D,1,Ice Cream,Briar Wilton,6,Picture Book,,,
D,1,In the Desert,Alex Ives,6,Science, Nonfiction,,
D,1,Little Piglets,Cynthia Rothman,6,Beginning Reader,,,
D,1,Meet the Big Cats,Michael Stuart,6,Science, Nonfiction,,
D,1,Sand Animals,Robert J. Harris,6,Beginning Reader,,,
D,1,Who Is Getting Married?,Bridie McBeath,6,Beginning Reader,,,
E,2,All Around Our Country,Susan Canizares,8,Social Studies, Nonfiction,,
E,2,Animal Moms and Dads,Ellen Tarlow,8,Science, Nonfiction,,
E,2,Cat in the Bag,Sara Swan Miller,8,Emergent Reader,,,
E,2,City Life and Country Life,Julie Moriarty,8,Emergent Reader,,,
E,2,"Hello, Doctor",David F. Marx,8,Emergent Reader,,,
E,2,Let's Go to a Fair,Cate Foley,8,Emergent Reader,,,
E,2,Let's Go to a Museum,Wiley Blevins,8,Beginning Reader,,,
E,2,On the Job,Janelle Cherrington,8,Social Studies, Nonfiction,,
E,2,School Long Ago,Minda Novek,8,Social Studies, Nonfiction,,
E,2,What Do Artists Use?,Samantha Berger,8,Photo Essay,,,
E,2,Flap and Sing: Birds,May Nelson,8,Science, Nonfiction,,
E,2,Fred's Wish for Fish,Yael Landman,8,Realistic Fiction,,,
E,2,Fresh Fall Leaves,Betsy Franco,8,Realistic Fiction,,,
E,2,I Go with Grandpa,Yael Landman,8,Realistic Fiction,,,
E,2,Let's Play Soccer,Ian Douglas,8,Informational Narrative,,,
E,2,Living Things,Dorothy Avery,8,Science, Nonfiction,,
E,2,"Magic Pot, The",Laura Smith,8,Fantasy,,,
E,2,"No Snacks, Jack!",Janet Reed,8,Realistic Fiction,,,
E,2,Painting,Janine Scott,8,Realistic Fiction,,,
E,2,The Yard Sale,Mary Atkinson,8,Realistic Fiction,,,
E,2,The Ball Game,David Packard,8,Rhyme, Rhyming Story,,
E,2,Five Little Monkeys Jumping on the Bed,Eileen Christelow,8,Song, Illustrated,,
E,2,Make It Move,Susan Canizares,8,Science, Nonfiction,,
E,2,Polar Babies,Susan Ring,8,Informational Narrative,,,
E,2,A Tree Can Be,Judy Nayer,8,Rhyme, Rhyming Story,,
E,2,Bell,Libby Brereton,8,Realistic Fiction,,,
E,2,Collections,Margaret Ballinger,8,Realistic Fiction,,,
E,2,"Eat Your Peas, Louise!",Pegeen Snow,8,Emergent Reader,,,
E,2,Fish,B. Lee Daniels,8,Science, Nonfiction,,
E,2,Fruit Trees,Lee B. Daniels,8,Beginning Reader,,,
E,2,I Love Rainy Days!,Hans Wilhelm,8,Beginning Reader,,,
E,2,Let's Play In the Forest While the Wolf Is Not Around,Claudia Rueda,8,Song, Illustrated,,
E,2,My New School,Kirsten Hall,8,Emergent Reader,,,
E,2,Ring! Ring!,Janelle Cherrington,8,Realistic Fiction,,,
E,2,Sammy the Turtle,Amy Baker,8,Beginning Reader,,,
F,2,Animal Pals,Janelle Cherrington,10,Science, Nonfiction,,
F,2,Ellen Ochoa,Pamela Walker,10,Emergent Reader,,,
F,2,I Can Play Soccer,Edana Eckart,10,Emergent Reader,,,
F,2,I Like Cheese,Robin Pickering,10,Emergent Reader,,,
F,2,Storms,Katie Durgin–Bruce,10,Science, Nonfiction,,
F,2,Watch Me Plant a Garden,Jack Otten,10,Emergent Reader,,,
F,2,What Can I Buy?,Julie Moriarty,10,Math, Geometry,,
F,2,I'm a Seed,Jean Marzollo,10,Circular Story,,,
F,2,My Goldfish,Pamela Walker,10,Emergent Reader,,,
F,2,How Does Your Salad Grow?,Francie Alexander,10,Science, Nonfiction,,
F,2,Biscuit Visits the Big City,Alyssa Satin Capucilli,10,Realistic Fiction,,,
F,2,"Bug, a Bear, and a Boy, A",David McPhail,10,Fantasy,,,
F,2,The Country Mouse and the Town Mouse,Janet Reed,10,Tales, Fable,,
F,2,"Go Home, Daisy",Barbara Hill,10,Realistic Fiction,,,
F,2,Goldilocks and the Three Bears,Ellen Giggenbach,10,Tales, Fairytale, Classic,
F,2,How Lizard Lost His Colors,Sara Shapiro,10,Tales, Pourquoi Tale,,
F,2,Loose Tooth,Lola M. Schaefer,10,Realistic Fiction,,,
F,2,Meg and the Lost Pencil Case,Greg Parasmo,10,Realistic Fiction,,,
F,2,"Melt It, Shape It: Glass",May Nelson,10,Science, Nonfiction,,
F,2,Todd's Teacher,Janelle Cherrington,10,Realistic Fiction,,,
F,2,Bread Bread Bread,Ann Morris,10,Social Studies, Nonfiction,,
F,2,Cookie's Week,Cindy Ward,10,Picture Book,,,
F,2,Dinosaurs,Grace Maccarone,10,Science, Nonfiction,,
F,2,Harry's House,Angela Shelf Medearis,10,Emergent Reader,,,
F,2,"Up, Up, and Away: The Story of Amelia Earhart",Susan Canizares,10,Biography, Historical,,
F,2,Biscuit,Alyssa Satin Capucilli,10,Emergent Reader,,,
F,2,A Color of His Own,Leo Lionni,10,Picture Book,,,
F,2,A Day with Paramedics,Jan Kottke,10,Social Studies, Nonfiction,,
F,2,"Does a Kangaroo Have a Mother, Too?",Eric Carle,10,Emergent Reader,,,
F,2,Don't Be Late!,Libby Brereton,10,Beginning Reader,,,
F,2,Little Bird,Libby Brereton,10,Beginning Reader,,,
F,2,My River,Shari Halpern,10,Environmental Fiction,,,
F,2,Popcorn,Karen Alexander,10,Science, Nonfiction,,
F,2,Small Treasures,Akimi Gibson,10,Beginning Reader,,,
F,2,Tina's Taxi,Betsy Franco,10,Picture Book,,,
G,3,Find the Wild Animal,Cate Foley,12,Emergent Reader,,,
G,1|2,From Seed to Pumpkin,Jan Kottke,12,Science, Nonfiction,,
G,1|2,How Big? How Much?,Jeannie Hutchins,12,Math, Geometry,,
G,1|2,It's a Good Thing There Are Insects,Allan Fowler,12,Science, Nonfiction,,
G,1|2,Made with Glass,Janelle Cherrington,12,Science, Nonfiction,,
G,1|2,Make a Leaf Rubbing,Margaret Ballinger,12,Activities, Skills, How–to,
G,1|2,Math at the Store,William Amato,12,Photo Essay,,,
G,1|2,The Secret Code,Dana Meachen Rau,12,Beginning Reader,,,
G,1|2,Tracks in the Sand,Amy Levin,12,Science, Nonfiction,,
G,1|2,Tic-Tac-Toe Three in a Row,Judith Bauer Stamper,12,Rhyme, Rhyming Story,,
G,1|2,At the Apple Farm,Rachel Albanese,12,Informational Narrative,,,
G,1|2,The Deep Blue Sea,Audrey Wood,12,Realistic Fiction,,,
G,1|2,The Gingerbread Man,Janelle Cherrington,12,Tales, Fairytale, Classic,
G,1|2,I Just Forgot,Mercer Mayer,12,Picture Book,,,
G,1|2,In Our Yard,Janet Reed,12,Realistic Fiction,,,
G,1|2,Is This a Moose?,Jennifer Armstrong,12,Science, Nonfiction,,
G,1|2,Justin's New Bike,Barbara Hill,12,Realistic Fiction,,,
G,1|2,Rabbit's Party,Eve Bunting,12,Fantasy,,,
G,1|2,The Three Billy Goats Gruff,Sara Shapiro,12,Tales, Fairytale, Classic,
G,1|2,AVery Silly School,Janelle Cherrington,12,Fantasy,,,
G,1|2,All About You,Catherine & Laurence Anholt,12,Rhyme, Rhyming Story,,
G,1|2,The Carrot Seed,Ruth Krauss,12,Picture Book,,,
G,1|2,I'm a Caterpillar,Jean Marzollo,12,Science, Nonfiction,,
G,1|2,My Friends,Taro Gomi,12,Picture Book,,,
G,1|2,Sometimes Things Change,Patricia Eastman,12,Science, Nonfiction,,
G,1|2,Are We There Yet?,Bridget Taylor,12,Picture Book,,,
G,1|2,A City Park,Jamie Barrow,12,Social Studies, Nonfiction,,
G,1|2,Clifford Makes the Team,Norman Bridwell,12,Picture Book,,,
G,1|2,Crafts,Pamela Chanko,12,Social Studies, Nonfiction,,
G,1|2,Lost and Found,Vanessa York,12,Realistic Fiction,,,
G,1|2,Mousetrap,Diane Snowball,12,Emergent Reader,,,
G,1|2,The New Car,Robert J. Lee,12,Realistic Fiction,,,
G,1|2,Our Tree House,Libby Brereton,12,Beginning Reader,,,
G,1|2,Vegetable Soup,Ann Morris,12,Rhyme, Rhyming Story,,
G,1|2,"Wake Up, Little Mouse!",Annie Thomas,12,Picture Book,,,
H,1|2,I Am Planet Earth,Jean Marzollo,14,Science, Nonfiction,,
H,1|2,The 100th Day,Grace Maccarone,14,Number, Counting Book,,
H,1|2,Colin Powell,Mary Hill,14,Emergent Reader,,,
H,1|2,A Day with Air Traffic Controllers,Joanne Winne,14,Emergent Reader,,,
H,1|2,From Acorn to Oak Tree,Jan Kottke,14,Science, Nonfiction,,
H,1|2,George Washington,Philip Abraham,14,Emergent Reader,,,
H,1|2,Monster Money,Grace Maccarone,14,Rhyme, Rhyming Story,,
H,1|2,School in Colonial America,Mark Thomas,14,Beginning Reader,,,
H,1|2,The Wheat We Eat,Allan Fowler,14,Science, Nonfiction,,
H,1|2,A Day with a Mechanic,Joanne Winne,14,Emergent Reader,,,
H,1|2,Aunt Maud's Mittens,Yael Landman,14,Picture Book,,,
H,1|2,The Father Who Walked on His Hands,Margaret Mahy,14,Realistic Fiction,,,
H,1|2,"Good Morning, Monday",Sheila Keenan,14,Realistic Fiction,,,
H,1|2,Hop! Spring! Leap!,Fiona Bayrock,14,Science, Nonfiction,,
H,1|2,Little Red Riding Hood,Sara Shapiro,14,Tales, Fairytale, Classic,
H,1|2,Sammy the Seal,Syd Hoff,14,Picture Book,,,
H,1|2,Sione's Talo,Lino Nelisi,14,Tales, Folktale,,
H,1|2,Trains,Rachel Albanese,14,Informational Narrative,,,
H,1|2,An Unusual Show,Ellen Blonder,14,Fantasy,,,
H,1|2,Why Did the Chicken Cross the Road?,Janet Reed,14,Fantasy,,,
H,1|2,A Bean Plant Grows,Vanessa York,14,Science, Nonfiction,,
H,1|2,"Pele, the King of Soccer",Samantha Berger,14,Social Studies, Nonfiction,,
H,1|2,Danny and the Dinosaur Go to Camp,Syd Hoff,14,Fantasy,,,
H,1|2,George Shrinks,William Joyce,14,Fantasy,,,
H,1|2,What Will the Weather Be Like Today?,Paul Rogers,14,Rhyme, Rhyming Story,,
H,1|2,Canada,Samantha Berger,14,Social Studies, Nonfiction,,
H,1|2,Captain Cat,Syd Hoff,14,Beginning Reader,,,
H,1|2,I Need a Lunch Box,Jeannette Caines,14,Realistic Fiction,,,
H,1|2,"Inside Mouse, Outside Mouse",Lindsay Barrett George,14,Picture Book,,,
H,1|2,Just Me and My Dad,Mercer Mayer,14,Picture Book,,,
H,1|2,Larry and Loki,Janelle Cherrington,14,Realistic Fiction,,,
H,1|2,Mom's Secret,Meredith Costain,14,Realistic Fiction,,,
H,1|2,The Story of Henny Penny,Richard Carson,14,Tales,,,
H,1|2,Too Late Harry!,Sara Shapiro,14,Picture Book,,,
H,1|2,Discovering My World: Life on a Coral Reef,Melvin & Gilda Berger,14,Science, Nonfiction,,
I,1|2,Beetles,Edana Eckart,16,Science, Nonfiction,,
I,1|2,Choosing Eyeglasses with Mrs. Koutris,Alice K. Flanagan,16,Social Studies, Nonfiction,,
I,1|2,A Flag for All,Larry Dane Brimner,16,Beginning Reader,,,
I,1|2,How Many Ants?,Larry Dane Brimner,16,Number, Counting Book,,
I,1|2,Looking Through a Telescope,Linda Bullock,16,Science, Nonfiction,,
I,1|2,Presidents' Day,David F. Marx,16,Social Studies, Nonfiction,,
I,1|2,Where Do Puddles Go?,Fay Robinson,16,Science, Nonfiction,,
I,1|2,Shadows,Carolyn B. Otto,16,Science, Nonfiction,,
I,1|2,The Apple Pie Tree,Zoe Hall,16,Picture Book,,,
I,1|2,A House Spider's Life,John Himmelman,16,Informational Narrative,,,
I,1|2,Animals at Night,Melvin & Gilda Berger,16,Science, Nonfiction,,
I,1|2,Dolphins and Porpoises,Melvin & Gilda Berger,16,Science, Nonfiction,,
I,1|2,The Fat Cat,Jack Kent,16,Cumulative Tale,,,
I,1|2,Mama Zooms,Jane Cowen–Fletcher,16,Fantasy,,,
I,1|2,Nana's Place,Akimi Gibson,16,Realistic Fiction,,,
I,1|2,"Shoo, Fly Guy!",Tedd Arnold,16,Humor, Silliness,,
I,1|2,Two Crazy Pigs,Karen Berman Nagel,16,Humor, Silliness,,
I,1|2,The Wax Man,Olga Loya,16,Tales, Folktale,,
I,1|2,We're Going on a Nature Hunt!,Steve Metzger,16,Realistic Fiction,,,
I,1|2,The Wheels on the Race Car,Alexander Zane,16,Picture Book,,,
I,1|2,"Caps, Hats, Socks, and Mittens",Louise W. Borden,14,Picture Book,,,
I,1|2,Leo the Late Bloomer,Robert Kraus,16,Picture Book,,,
I,1|2,Noisy Nora,Rosemary Wells,16,Rhyme, Rhyming Story,,
I,1|2,Red-Eyed Tree Frog,Joy Cowley,16,Science, Nonfiction,,
I,1|2,Me on the Map,Joan Sweeney,16,Social Studies, Nonfiction,,
I,1|2,Bears,Melvin & Gilda Berger,16,Science, Nonfiction,,
I,1|2,The Birthday Party,Alex Ives,16,Picture Book,,,
I,1|2,Butterflies,Melvin & Gilda Berger,16,Science, Nonfiction,,
I,1|2,Dragon Gets By,Dav Pilkey,16,Humor, Silliness,,
I,1|2,Henry and Mudge and the Funny Lunch,Cynthia Rylant,16,Early Chapter Book,,,
I,1|2,Hi! Fly Guy,Tedd Arnold,16,Humor, Silliness,,
I,1|2,Small Pig,Arnold Lobel,16,Beginning Reader,,,
I,1|2,The Very Busy Spider,Eric Carle,16,Picture Book,,,
I,1|2,Who Wants a Ride,Robin Bernard,16,Informational Narrative,,,
I,1|2,Willie's Wonderful Pet,Mel Cebulash,16,Beginning Reader,,,
J,2|3,The Field Mouse and the Dinosaur Named Sue,Jan Wahl,18,Informational Narrative,,,
J,2|3,Giant Pandas. Gifts from China,Allan Fowler,18,Science, Nonfiction,,
J,2|3,Harriet Tubman,Catherine Nichols,18,Biography, Historical,,
J,2|3,How Do Your Lungs Work?,Don L. Curry,18,Science, Nonfiction,,
J,2|3,Inside an Ant Colony,Allan Fowler,18,Science, Nonfiction,,
J,2|3,We Need Directions!,Sarah De Capua,18,Social Studies, Nonfiction,,
J,2|3,Thunder and Lightning,Wendy Pfeffer,18,Science, Nonfiction,,
J,2|3,An Earthworm's Life,John Himmelman,18,Informational Narrative,,,
J,2|3,Germs! Germs! Germs!,Bobbi Katz,18,Science, Nonfiction,,
J,2|3,Bart's Amazing Charts,Dianne Ochiltree,18,Activities, Skills, How–to,
